uf,escolas_conectadas_nivel_4_5,territorio,titulo,eti_matriculas_fomentadas,eti_valor_fomentado,novo_pac_ept_expansao,sigla_uf,escola_conectada_qtd_escolas_4e5,escola_conectada_pct_escolas_4e5,escola_eti_qtd_matricula,escola_eti_valor_fomento,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_qtd_articuladores_total,cnca_articuladores_renalpha_2025,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_consolidacao,novo_pac_superior_expansao,novo_pac_superior_total_previsto,novo_pac_ept_expansao_1,novo_pac_ept_consolidacao,novo_pac_ept_total_previsto,novopac_ept_expansao_qtd,novo_pac_hu_valor_previsto,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnae_abrangencia,pnae_referencia,pnate_estudantes_beneficiados,pnate_valor_investido,pnate_abrangencia,pnate_referencia,if_matriculas,if_numero,if_campi,uf_instituicoes,uf_campi,uf_matriculas_graduacao,nome
PB,"2.934 (78,8 %)",PARAÍBA,BRIEFING – Visita Ministerial - PARAÍBA,504.769,"R$ 1,57  bilhões","R$ 100,00 milhões - 4 campi ",PB,2.934,"78,8 %",504.769,"R$ 1,57  bilhões",3.693,2.128,"R$ 4,56 milhões",267,"R$ 9,02 milhões","R$ 4,62 milhões","R$ 26,00 milhões","R$ 44,20 milhões","192,207","R$ 584,43  milhões",2024-2026,Março/2026,60,"R$ 70,94  milhões","R$ 37,73  milhões",44,"R$ 176,83  milhões",43,"R$ 413,21  milhões",131,"R$ 65,31  milhões","R$ 47,10 milhões","R$ 0,00 milhões - 0 Campus","R$ 47,10 milhões","R$ 100,00 milhões","R$ 69,03 milhões","R$ 169,03 milhões",4,"R$ 32,83  milhões","R$ 5,57 bilhões","R$ 6,54 bilhões","R$ 7,26 bilhões","R$ 1,75 bilhões","R$ 72,15 milhões","R$ 292,02 milhões","R$ 32,90 milhões",3.707,"R$ 450,36 milhões",2023-2025,Dezembro/25,117.770,"R$ 72,48 milhões",2023-2025,Dezembro/25,"33,9 mil",1,21,2,11,50.239,PARAÍBA
PE,"4.179 (71,0 %)",PERNAMBUCO,BRIEFING – Visita Ministerial - PERNAMBUCO,831.888,"R$ 2,59  bilhões","R$ 150,00 milhões - 6 campi ",PE,4.179,"71,0 %",831.888,"R$ 2,59  bilhões",7.242,3.763,"R$ 8,94 milhões",233,"R$ 7,93 milhões","R$ 10,14 milhões","R$ 18,43 milhões","R$ 45,45 milhões","467,006","R$ 1,42  bilhões",2024-2026,Março/2026,76,"R$ 126,29  milhões","R$ 57,64  milhões",130,"R$ 520,48  milhões",45,"R$ 452,27  milhões",162,"R$ 80,69  milhões","R$ 161,27 milhões","R$ 60,00 milhões - 1 Campus","R$ 221,27 milhões","R$ 150,00 milhões","R$ 72,39 milhões","R$ 222,39 milhões",6,"R$ 58,00  milhões","R$ 10,67 bilhões","R$ 12,83 bilhões","R$ 14,13 bilhões","R$ 3,70 bilhões","R$ 420,73 milhões","R$ 475,92 milhões","R$ 128,47 milhões",5.971,"R$ 925,17 milhões",2023-2025,Dezembro/25,273.550,"R$ 162,20 milhões",2023-2025,Dezembro/25,"39,8 mil",2,23,4,12,57.308,PERNAMBUCO
CE,"4.033 (67,5 %)",CEARÁ,BRIEFING – Visita Ministerial - CEARÁ,1.683.436,"R$ 5,13  bilhões","R$ 150,00 milhões - 6 campi ",CE,4.033,"67,5 %",1.683.436,"R$ 5,13  bilhões",7.431,3.584,"R$ 9,18 milhões",249,"R$ 8,64 milhões","R$ 19,95 milhões","R$ 25,67 milhões","R$ 63,43 milhões","483,207","R$ 1,52  bilhões",2024-2026,Março/2026,203,"R$ 302,27  milhões","R$ 187,24  milhões",115,"R$ 496,48  milhões",59,"R$ 613,61  milhões",213,"R$ 101,35  milhões","R$ 314,64 milhões","R$ 60,00 milhões - 1 Campus","R$ 374,64 milhões","R$ 150,00 milhões","R$ 53,58 milhões","R$ 203,58 milhões",6,"R$ 227,55  milhões","R$ 12,82 bilhões","R$ 15,80 bilhões","R$ 18,58 bilhões","R$ 4,89 bilhões","R$ 1,31 bilhões","R$ 1,06 bilhões","R$ 102,04 milhões",6.159,"R$ 1,29 bilhões",2023-2025,Dezembro/25,375.842,"R$ 235,29 milhões",2023-2025,Dezembro/25,"57,1 mil",1,33,3,16,54.624,CEARÁ
AL,"1.773 (74,1 %)",ALAGOAS,BRIEFING – Visita Ministerial - ALAGOAS,409.205,"R$ 1,26  bilhões","R$ 75,00 milhões - 3 campi ",AL,1.773,"74,1 %",409.205,"R$ 1,26  bilhões",2.745,1.281,"R$ 3,39 milhões",143,"R$ 5,06 milhões","R$ 3,74 milhões","R$ 7,47 milhões","R$ 19,66 milhões","169,661","R$ 521,19  milhões",2024-2026,Março/2026,32,"R$ 23,83  milhões","R$ 12,00  milhões",65,"R$ 277,81  milhões",16,"R$ 160,68  milhões",94,"R$ 47,50  milhões","R$ 25,00 milhões","R$ 0,00 milhões - 0 Campus","R$ 25,00 milhões","R$ 75,00 milhões","R$ 61,17 milhões","R$ 136,17 milhões",3,"R$ 9,31  milhões","R$ 5,37 bilhões","R$ 6,31 bilhões","R$ 7,54 bilhões","R$ 1,87 bilhões","R$ 221,66 milhões","R$ 403,60 milhões","R$ 66,74 milhões",2.380,"R$ 401,16 milhões",2023-2025,Dezembro/25,146.258,"R$ 65,77 milhões",2023-2025,Dezembro/25,"20,2 mil",1,16,1,4,28.080,ALAGOAS
SE,"1.143 (75,3 %)",SERGIPE,BRIEFING – Visita Ministerial - SERGIPE,228.116,"R$ 701,04  milhões","R$ 50,00 milhões - 2 campi ",SE,1.143,"75,3 %",228.116,"R$ 701,04  milhões",1.664,916,"R$ 2,06 milhões",107,"R$ 3,71 milhões","R$ 2,55 milhões","R$ 9,03 milhões","R$ 17,35 milhões","109,261","R$ 334,84  milhões",2024-2026,Março/2026,24,"R$ 29,70  milhões","R$ 18,88  milhões",43,"R$ 163,54  milhões",13,"R$ 124,77  milhões",49,"R$ 22,92  milhões","R$ 25,36 milhões","R$ 60,00 milhões - 1 Campus","R$ 85,36 milhões","R$ 50,00 milhões","R$ 27,80 milhões","R$ 77,80 milhões",2,"R$ 39,94  milhões","R$ 3,07 bilhões","R$ 3,51 bilhões","R$ 4,07 bilhões","R$ 1,01 bilhões",R$ 0,"R$ 79,77 milhões","R$ 39,85 milhões",1.522,"R$ 234,13 milhões",2023-2025,Dezembro/25,80.547,"R$ 47,56 milhões",2023-2025,Dezembro/25,"11,4 mil",1,10,1,7,25.357,SERGIPE
TO,"1.125 (81,4 %)",TOCANTINS,BRIEFING – Visita Ministerial - TOCANTINS,265.188,"R$ 800,23  milhões","R$ 25,00 milhões - 1 campus",TO,1.125,"81,4 %",265.188,"R$ 800,23  milhões",1.559,747,"R$ 1,93 milhões",180,"R$ 6,25 milhões","R$ 1,17 milhões","R$ 415,323","R$ 9,76 milhões","76,896","R$ 213,59  milhões",2024-2026,Março/2026,53,"R$ 66,29  milhões","R$ 45,74  milhões",24,"R$ 106,22  milhões",23,"R$ 245,42  milhões",52,"R$ 25,72  milhões","R$ 37,30 milhões","R$ 0,00 milhões - 0 Campus","R$ 37,30 milhões","R$ 25,00 milhões","R$ 45,23 milhões","R$ 70,23 milhões",1,Não se aplica,"R$ 2,99 bilhões","R$ 3,41 bilhões","R$ 3,69 bilhões","R$ 871,63 milhões",R$ 0,"R$ 13,00 milhões","R$ 8,98 milhões",1.416,"R$ 228,99 milhões",2023-2025,Dezembro/25,42.439,"R$ 24,55 milhões",2023-2025,Dezembro/25,"16,2 mil",1,12,2,7,19.529,TOCANTINS
MA,"7.679 (76,2 %)",MARANHÃO,BRIEFING – Visita Ministerial - MARANHÃO,1.052.619,"R$ 3,26  bilhões","R$ 100,00 milhões - 4 campi ",MA,7.679,"76,2 %",1.052.619,"R$ 3,26  bilhões",9.158,6.042,"R$ 11,31 milhões",276,"R$ 9,32 milhões","R$ 10,14 milhões","R$ 31,68 milhões","R$ 62,45 milhões","406,174","R$ 1,27  bilhões",2024-2026,Março/2026,542,"R$ 581,78  milhões","R$ 275,45  milhões",106,"R$ 461,62  milhões",55,"R$ 537,70  milhões",195,"R$ 93,64  milhões","R$ 39,59 milhões","R$ 0,00 milhões - 0 Campus","R$ 39,59 milhões","R$ 100,00 milhões","R$ 49,79 milhões","R$ 149,79 milhões",4,"R$ 25,00  milhões","R$ 12,73 bilhões","R$ 15,88 bilhões","R$ 18,28 bilhões","R$ 4,57 bilhões","R$ 1,30 bilhões","R$ 1,15 bilhões","R$ 163,94 milhões",10.420,"R$ 1,08 bilhões",2023-2025,Dezembro/25,271.651,"R$ 171,08 milhões",2023-2025,Dezembro/25,"44,0 mil",1,29,1,9,44.975,MARANHÃO
PI,"2.985 (83,9 %)",PIAUÍ,BRIEFING – Visita Ministerial - PIAUÍ,700.805,"R$ 2,16  bilhões","R$ 90,00 milhões - 4 campi ",PI,2.985,"83,9 %",700.805,"R$ 2,16  bilhões",3.623,1.936,"R$ 4,47 milhões",289,"R$ 9,88 milhões","R$ 5,02 milhões","R$ 36,78 milhões","R$ 56,16 milhões","187,389","R$ 569,35  milhões",2024-2026,Março/2026,123,"R$ 110,40  milhões","R$ 66,22  milhões",75,"R$ 321,94  milhões",41,"R$ 389,42  milhões",148,"R$ 71,73  milhões","R$ 38,64 milhões","R$ 0,00 milhões - 0 Campus","R$ 38,64 milhões","R$ 90,00 milhões","R$ 24,48 milhões","R$ 114,48 milhões",4,Não se aplica,"R$ 5,89 bilhões","R$ 6,71 bilhões","R$ 7,93 bilhões","R$ 2,22 bilhões","R$ 444,72 milhões","R$ 483,81 milhões","R$ 64,93 milhões",3.587,"R$ 503,81 milhões",2023-2025,Dezembro/25,159.539,"R$ 104,43 milhões",2023-2025,Dezembro/25,"33,1 mil",1,20,3,6,31.942,PIAUÍ
BA,"9.332 (69,8 %)",BAHIA,BRIEFING – Visita Ministerial - BAHIA,1.573.209,"R$ 4,93  bilhões","R$ 200,00 milhões - 8 campi ",BA,9.332,"69,8 %",1.573.209,"R$ 4,93  bilhões",13.124,8.163,"R$ 16,21 milhões",498,"R$ 15,76 milhões","R$ 14,43 milhões","R$ 66,31 milhões","R$ 112,71 milhões","708,952","R$ 2,11  bilhões",2024-2026,Março/2026,294,"R$ 389,15  milhões","R$ 216,26  milhões",134,"R$ 597,05  milhões",62,"R$ 629,15  milhões",342,"R$ 162,75  milhões","R$ 257,15 milhões","R$ 60,00 milhões - 1 Campus","R$ 317,15 milhões","R$ 200,00 milhões","R$ 51,51 milhões","R$ 251,51 milhões",8,"R$ 34,60  milhões","R$ 20,25 bilhões","R$ 24,38 bilhões","R$ 27,71 bilhões","R$ 6,95 bilhões","R$ 1,50 bilhões","R$ 1,41 bilhões","R$ 104,73 milhões",13.660,"R$ 1,49 bilhões",2023-2025,Dezembro/25,589.097,"R$ 358,06 milhões",2023-2025,Dezembro/25,"51,9 mil",2,38,6,23,56.447,BAHIA
MG,"8.893 (73,7 %)",MINAS GERAIS,BRIEFING – Visita Ministerial - MINAS GERAIS,1.315.548,"R$ 3,92  bilhões","R$ 225,00 milhões - 9 campi ",MG,8.893,"73,7 %",1.315.548,"R$ 3,92  bilhões",18.011,5.121,"R$ 22,24 milhões",996,"R$ 33,01 milhões","R$ 22,61 milhões","R$ 66,96 milhões","R$ 144,81 milhões","600,667","R$ 1,66  bilhões",2024-2026,Março/2026,121,"R$ 141,32  milhões","R$ 77,51  milhões",131,"R$ 540,33  milhões",34,"R$ 321,94  milhões",193,"R$ 92,00  milhões","R$ 393,92 milhões","R$ 60,00 milhões - 1 Campus","R$ 453,92 milhões","R$ 225,00 milhões","R$ 208,35 milhões","R$ 433,35 milhões",9,"R$ 303,46  milhões","R$ 23,86 bilhões","R$ 26,99 bilhões","R$ 29,21 bilhões","R$ 7,69 bilhões",R$ 0,"R$ 109,04 milhões","R$ 47,12 milhões",12.958,"R$ 1,92 bilhões",2023-2025,Dezembro/25,360.790,"R$ 179,57 milhões",2023-2025,Dezembro/25,"163,5 mil",5,58,11,39,181.586,MINAS GERAIS
AM,"3.028 (58,7 %)",AMAZONAS,BRIEFING – Visita Ministerial - AMAZONAS,278.409,"R$ 906,57  milhões","R$ 50,00 milhões - 2 campi ",AM,3.028,"58,7 %",278.409,"R$ 906,57  milhões",3.889,1.817,"R$ 4,80 milhões",91,"R$ 3,24 milhões","R$ 4,95 milhões","R$ 37,19 milhões","R$ 50,18 milhões","248,834","R$ 731,22  milhões",2024-2026,Março/2026,122,"R$ 196,51  milhões","R$ 90,96  milhões",44,"R$ 183,43  milhões",17,"R$ 181,18  milhões",58,"R$ 28,45  milhões","R$ 46,50 milhões","R$ 60,00 milhões - 1 Campus","R$ 106,50 milhões","R$ 50,00 milhões","R$ 61,03 milhões","R$ 111,03 milhões",2,Não se aplica,"R$ 6,76 bilhões","R$ 8,38 bilhões","R$ 9,10 bilhões","R$ 2,05 bilhões","R$ 376,91 milhões","R$ 374,96 milhões","R$ 72,77 milhões",5.150,"R$ 541,23 milhões",2023-2025,Dezembro/25,126.838,"R$ 102,21 milhões",2023-2025,Dezembro/25,"24,1 mil",1,17,1,7,24.802,AMAZONAS
RR,"460 (53,2 %)",RORAIMA,BRIEFING – Visita Ministerial - RORAIMA,28.965,"R$ 89,03  milhões","R$ 25,00 milhões - 1 campus",RR,460,"53,2 %",28.965,"R$ 89,03  milhões",417,114,"R$ 514,995",29,"R$ 1,11 milhões","R$ 390,999","R$ 5,00 milhões","R$ 7,01 milhões","26,324","R$ 74,03  milhões",2024-2026,Março/2026,6,"R$ 8,33  milhões","R$ 3,01  milhões",5,"R$ 23,36  milhões",4,"R$ 43,01  milhões",16,"R$ 8,04  milhões","R$ 8,40 milhões","R$ 0,00 milhões - 0 Campus","R$ 8,40 milhões","R$ 25,00 milhões","R$ 21,05 milhões","R$ 46,05 milhões",1,"R$ 50,00  milhões","R$ 1,47 bilhões","R$ 1,73 bilhões","R$ 1,91 bilhões","R$ 452,97 milhões",R$ 0,"R$ 8,11 milhões","R$ 1,42 milhões",858,"R$ 80,46 milhões",2023-2025,Dezembro/25,20.637,"R$ 11,18 milhões",2023-2025,Dezembro/25,"7,2 mil",1,5,1,3,6.563,RORAIMA
