secretaria,sigla_uf,instituicao,descricao_empreendimento,municipio,valor_previsto
SESU,MG,UFSJ,Instalações Prediais complementares do Campus Alto Paraopeba - UFSJ,Ouro Branco,1500000.0
SESU,MG,UFSJ,Restaurante Universitário do Campus Alto Paraopeba - UFSJ,Ouro Branco,825000.0
SESU,MG,UFSJ,Complexo Esportivo e/ou Culturais do Campus Sete Lagoas - UFSJ,Sete Lagoas,966667.0
SESU,MG,UFSJ,Instalações Prediais complementares do Campus Sete Lagoas - UFSJ,Sete Lagoas,3100000.0
SESU,MG,UFSJ,Restaurante Universitário do Campus Sete Lagoas - UFSJ,Sete Lagoas,825000.0
SESU,MG,UFSJ,Salas de Aula da Fazenda Jequitibá do Campus Sete Lagoas - UFSJ,Sete Lagoas,3100000.0
SESU,MG,UFSJ,Complexo Esportivo e/ou Culturais do Campus Santo Antônio - UFSJ,São João del-Rei,2700000.0
SESU,MG,UFSJ,Restaurante Universitário do Campus Dom Bosco  - UFSJ,São João del-Rei,825000.0
SESU,MG,UFSJ,Salas de Aula do Campus Santo Antônio - UFSJ,São João del-Rei,4500000.0
SESU,MG,UFTM,Estruturas Acadêmicas do Campus Iturama - UFTM,Iturama,12000000.0
SESU,MG,UFTM,Estruturas Acadêmicas do Campus Sede - UFTM,Uberaba,18000000.0
SESU,MG,UFU,Estruturas Acadêmicas do Campus Pontal  - UFU,Ituiutaba ,7000000.0
SESU,MG,UFU,Instalações Prediais complementares do Campus Glória - UFU,UBERLÂNDIA,2000000.0
SESU,MG,UFU,Reforma do Teatro Bloco 5Rsm Teatro e Cinema / Universidade Federal de Uberlândia/MG,UBERLÂNDIA,964098.3
SESU,MG,UFU,Salas de Aula do Campus Umuarama - UFU,UBERLÂNDIA,24000000.0
SESU,MG,UFV,Complexo Esportivo e/ou Culturais do Campus Sede Viçosa - UFV,Viçosa,20000000.0
SESU,MG,UFV,Salas de Aula do Campus Sede Viçosa - UFV,Viçosa,12000000.0
SESU,MG,UFVJM,Moradia Estudantil do Campus Diamantina - UFVJM,Diamantina,5300000.0
SESU,MG,UFVJM,Restaurante Universitário do Campus JK - UFVJM,Diamantina,7000000.0
SESU,MG,UFVJM,Infraestrutura e urbanização - Etapa 1 - Campus Janaúba,Janaúba,1000000.0
SESU,MG,UFVJM,Restaurante Universitário do Campus Janaúba - UFVJM,Janaúba,1500000.0
SESU,MG,UFVJM,Salas de Aula do Campus do Mucuri - UFVJM,Teófilo Otoni,7500000.0
SESU,MG,UFVJM,Infraestrutura e Urbanização - Etapa 1 - do Campus Unaí,Unai,1000000.0
SESU,MG,UFVJM,Instalações Prediais complementares do Campus Unaí - UFVJM,Unaí,1200000.0
SESU,MG,UFVJM,Restaurante Universitário do Campus Unaí - UFVJM,Unaí,1500000.0
SESU,MG,UNIFAL,Construção Fase I do Prédio Faculdade de Odontologia - Universidade Federal de Alfenas,Alfenas,6973537.0
SESU,MG,UNIFAL,Estruturas Acadêmicas - Fase II - Faculdade de Odontologia do Campus Sede - UNIFAL-MG,Alfenas,19183863.0
SESU,MG,UNIFAL,Infraestrutura e Urbanização - Fase II  - Faculdade de Odontologia do Campus Sede - UNIFAL,Alfenas,2342780.0
SESU,MG,UNIFAL,Reforma do Museu da Memória e Patrimônio(MMP)/Universidade Federal de Alfenas.,Alfenas,1357919.26
SESU,MG,UNIFEI,Laboratórios do Campus José Rodrigues Seabra - UNIFEI,Itajubá,6500000.0
SESU,MS,UFGD,Instalações prediais da Faculdade de Educação a Distância,Dourados,2677940.69
SESU,MS,UFGD,Obra Labeng (FAEN),Dourados,15322059.31
